iter	Passed	Remaining
0	0	74
1	1	86
2	2	84
3	3	82
4	4	82
5	5	80
6	6	80
7	6	79
8	7	77
9	8	75
10	9	73
11	9	71
12	10	70
13	11	69
14	12	69
15	12	67
16	13	66
17	14	65
18	14	63
19	15	61
20	16	60
21	16	60
22	17	59
23	18	57
24	18	56
25	19	55
26	20	54
27	20	53
28	21	52
29	22	51
30	22	50
31	23	49
32	23	48
33	24	47
34	25	46
35	25	45
36	26	44
37	26	43
38	27	42
39	27	41
40	28	40
41	28	39
42	29	38
43	29	37
44	30	36
45	30	35
46	31	34
47	31	34
48	32	33
49	32	32
50	33	31
51	33	31
52	34	30
53	34	29
54	34	28
55	35	27
56	35	27
57	36	26
58	36	25
59	37	24
60	37	24
61	38	23
62	38	22
63	39	22
64	39	21
65	40	20
66	40	20
67	41	19
68	41	18
69	41	17
70	42	17
71	42	16
72	43	16
73	43	15
74	44	14
75	44	14
76	45	13
77	45	12
78	46	12
79	46	11
80	47	11
81	47	10
82	48	9
83	48	9
84	49	8
85	49	8
86	50	7
87	50	6
88	51	6
89	51	5
90	52	5
91	52	4
92	53	3
93	53	3
94	54	2
95	54	2
96	54	1
97	55	1
98	56	0
99	56	0
